"company","job description","required qualification","location"
"Reliance Industries Limited","Maintenance Trainee (Mechanical). 12-month hands-on role at the petrochemical plant. Assist in maintenance of pumps,  compressors,  and rotating equipment.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Nagothane,  Maharashtra"
"Infosys Limited","BPO Trainee (Customer Support). 12-month role handling customer queries (voice) for a US client. Learn communication skills and process protocols.","B.A.,  B.Sc,  or B.Com graduate (any discipline,  non-premier). Excellent English required. Must meet PMIS eligibility.","Pune,  Maharashtra"
"Tata Steel Limited","Operations Trainee (Blast Furnace). 12-month hands-on role. Learn blast furnace operations,  monitor parameters,  and assist in process control.","Diploma in Metallurgical/Chemical Engineering or B.Sc (Chemistry). Must meet PMIS age and income criteria.","Jamshedpur,  Jharkhand"
"Larsen and Toubro Limited","Finance Trainee (Project Site). 12-month on-site role. Assist with vendor bill processing,  time-keeping,  and expense reporting.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"ICICI Bank Limited","HR Trainee (Admin). 12-month role supporting the HR team. Assist with employee records,  leave management,  and data entry.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Hyderabad,  Telangana"
"Hindustan Unilever Limited","Supply Chain Trainee (Warehouse). 12-month role at a regional distribution center. Learn inventory management,  order processing"," and logistics coordination.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age and income criteria., Goa"
"Wipro Limited","Finance Trainee (BPO). 12-month role in the F&A BPO division. Learn accounts payable/receivable processes for a client. Perform data entry and validation.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Mahindra and Mahindra Limited","Manufacturing Trainee (Assembly). 12-month shop-floor role. Learn to assemble UVs (e.g.,  Scorpio,  XUV). Follow standard operating procedures.","ITI (Fitter/Mechanic) or Diploma in Mechanical/Automobile Engineering. Must meet PMIS eligibility.","Nashik,  Maharashtra"
"GAIL (India) Limited","Electrical Maintenance Trainee. 12-month hands-on role at a plant/station. Assist electricians in maintaining motors,  panels,  and electrical systems.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria.","Usar,  Maharashtra"
"Bajaj Auto Limited","Maintenance Trainee (Mechanical). 12-month hands-on role. Assist in preventive and breakdown maintenance of assembly line machinery and robots.","Diploma in Mechanical/Mechatronics Engineering. Must meet PMIS age and income criteria.","Pune,  Maharashtra"
"NTPC Limited","Operations Trainee (Control Room). 12-month rotational shift role. Learn to monitor power plant operations,  log parameters,  and assist shift engineers.","Diploma in Electrical/Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Dadri,  Uttar Pradesh"
"Axis Bank Limited","Branch Operations Trainee. 12-month customer-facing role. Handle queries,  assist with deposits/withdrawals,  and explain banking products.","Class 12 Pass or B.A. (any discipline). Good communication skills. Must meet PMIS eligibility.","New Delhi,  Delhi"
"Indian Oil Corporation Limited","Sales Trainee (Lubes). 12-month field role. Support sales team in managing distributor and retailer networks for lubricants.","BBA (Marketing) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Kolkata,  West Bengal"
"Hindustan Petroleum Corporation Limited","Refinery Operations Trainee. 12-month rotational shift role. Learn refinery unit operations,  monitor parameters,  and assist shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Visakhapatnam,  Andhra Pradesh"
"Reliance Retail Limited","Customer Service Trainee (Reliance Digital). 12-month store-based role. Learn product features,  assist customers,  and manage stock in the electronics store.","Class 12 Pass or B.A. (any discipline). Interest in technology required. Must meet PMIS eligibility.","Chennai,  Tamil Nadu"
"JSW Steel Limited","Operations Trainee (Blast Furnace). 12-month hands-on role. Learn blast furnace operations,  monitor parameters,  and assist in process control.","Diploma in Metallurgical/Chemical Engineering or B.Sc (Chemistry). Must meet PMIS age and income criteria.","Dolvi,  Maharashtra"
"Power Grid Corporation of India Limited","Electrical Trainee (Substation). 12-month on-site role. Learn operation and maintenance of high-voltage switchgear and transformers.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Lucknow,  Uttar Pradesh"
"ITC Limited","Manufacturing Trainee (FMCG). 12-month role at a food processing plant (e.g.,  Aashirvaad Atta). Learn production processes,  packaging,  and quality control.","Diploma in Food Processing/Mechanical Engineering. Must meet PMIS age and income criteria.","Pune,  Maharashtra"
"Tata Consultancy Services Limited","Finance Trainee (BPO). 12-month role processing financial transactions (e.g.,  accounts payable) for a corporate client. Requires attention to detail.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"HCL Technologies Limited","IT Helpdesk Trainee (Internal). 12-month role providing basic IT support to HCL employees. Handle password resets,  software installation.","B.Sc (IT) or BCA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Muthoot Finance Limited","Gold Appraiser Trainee. 12-month branch role. Learn to test gold purity,  weigh ornaments,  and manage documentation for gold loans under supervision.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kochi,  Kerala"
"Oil India Limited","Mechanical Maintenance Trainee. 12-month hands-on role. Assist in maintenance of pumps,  compressors,  and engines at a field installation.","ITI (Fitter/Mechanic) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Duliajan,  Assam"
"Steel Authority of India Limited","Operations Trainee (Coke Oven). 12-month hands-on role in the coke oven battery. Learn operations,  monitor parameters,  and support safety procedures.","Diploma in Chemical/Metallurgical Engineering or B.Sc (Chemistry). Must meet PMIS age and income criteria.","Bhilai,  Chhattisgarh"
"Kotak Mahindra Bank Limited","Loan Operations Trainee. 12-month back-office role. Verify documents for personal/auto loans,  check compliance,  and coordinate with sales.","B.Com or BBA graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Tech Mahindra Limited","Customer Support Trainee (Voice). 12-month role handling customer queries (voice) for a telecom client. Troubleshoot service issues.","B.A. or B.Sc (any discipline,  non-premier). Good communication skills. Must meet PMIS eligibility.","Pune,  Maharashtra"
"Northern Coalfields Limited","Mechanical Maintenance Trainee (HEMM). Assist in the maintenance and repair of Heavy Earth Moving Machinery (dumpers,  shovels). 12-month workshop/field role.","Diploma in Mechanical/Automobile Engineering or ITI (Mechanic). Must meet PMIS age and income criteria.","Singrauli,  Madhya Pradesh"
"UltraTech Cement Limited","Operations Trainee (Production). 12-month hands-on role assisting in kiln and mill operations. Monitor control panels and support shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Tadipatri,  Andhra Pradesh"
"Hero MotoCorp Limited","Quality Inspection Trainee (Engine). 12-month shop-floor role. Learn to inspect engine components using gauges and measuring instruments.","Diploma in Mechanical/Automobile Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Haridwar,  Uttarakhand"
"NHPC Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Tanakpur,  Uttarakhand"
"Asian Paints Limited","Warehouse Operations Trainee. 12-month role at a distribution center. Learn inventory management (SAP),  order processing,  and logistics coordination.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Patancheru,  Telangana"
"IndusInd Bank Ltd","Operations Trainee (Back-Office). 12-month role processing customer requests (e.g.,  address change,  stop payment),  data entry,  and file management.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Samsung India Electronics Private Limited","Quality Assurance Trainee (Hardware). 12-month role testing mobile device hardware (e.g.,  screen,  camera,  battery). Log defects and verify fixes.","Diploma in Electronics (ECE). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Mahanadi Coalfields Limited","Materials Management Trainee. 12-month office role. Assist in procurement,  stores management,  and inventory control.","B.Com or Diploma in Materials Management. Must meet PMIS age and income criteria.","Sambalpur,  Odisha"
"Shriram Finance Limited","Verification Trainee (Field). 12-month field role. Conduct physical verification of customer's address and collateral (vehicles) for loan applications.","Class 12 Pass. Must have a two-wheeler and valid license. Must meet PMIS age and income criteria.","Bengaluru,  Karnataka"
"Bandhan Bank Limited","Branch Operations Trainee. 12-month branch role. Support customer service,  cash handling,  and back-office account opening processes.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Varanasi,  Uttar Pradesh"
"Ambuja Cements Limited","Mechanical Maintenance Trainee. 12-month hands-on role. Assist in maintaining heavy machinery (kilns,  mills,  crushers). Learn preventive maintenance.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Marwar Mundwa,  Rajasthan"
"Oil and Natural Gas Corporation Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with processing bills,  managing vouchers,  and data entry.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Ankleshwar,  Gujarat"
"Maruti Suzuki India Limited","Supply Chain Trainee (Logistics). 12-month office role. Coordinate with suppliers for parts delivery,  manage schedules,  and track shipments.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age and income criteria.","Manesar,  Haryana"
"HDFC Bank Limited","HR Trainee (Admin). 12-month office role. Support the HR team with employee records,  leave management,  and data entry.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Reliance Industries Limited","Operations Trainee (Refinery). 12-month rotational shift role. Learn refinery unit operations,  monitor parameters,  and assist shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Jamnagar,  Gujarat"
"Infosys Limited","HR Trainee (Onboarding). 12-month role assisting the HR team. Manage new hire documentation,  coordinate background verification,  and support induction.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
